Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
African American Alliance of CDFI CEOs 2022,5000000.0,2022-12-01,2027-11-30,"toward the costs of creating a fund for member CDFIs to originate credit enhancement loans for BIPOC- and women-owned small businesses in low-to moderate income communities in Baltimore, MD, Chicago, IL, and Miami, FL.",U.S. Economic Opportunity,Unknown,"301 E. Pine Street, Suite 175, Orlando, FL 32801, United States of America"
Reinvent Stockton Foundation 2022,1250000.0,2022-12-01,2025-03-31,for use by its Mayors for a Guaranteed Income in support of increasing awareness of the impact of guaranteed income on low-income communities in the United States,U.S. Economic Opportunity,Unknown,"110 N. San Joaquin Street, Stockton, CA 95202, United States of America"
Stanford University 2022,262748.0,2022-12-01,2025-07-31,for use by its Deliberative Democracy Lab in support of an online deliberative poll of Tunisians on social and economic issues,Strategic Opportunities Fund,Unknown,"450 Serra Mall, Stanford, CA 94305-2004, United States of America"
World Health Organization 2022,499999.0,2022-12-01,2024-12-31,"towards the cost of scaling up, institutionalizing and building capacity for social behavioral insight activities for the purpose of driving demand for vaccine uptake in the African region",Health Initiative,Unknown,"20 Avenue Appia, CH-1211, Geneva,  27, Switzerland"
Give Foundation Inc. 2022,250000.0,2022-12-01,2023-11-30,in general support of its mission to raise and distribute funding to charitable organizations doing work on the ground in India.,Strategic Opportunities Fund,Unknown,"PO Box 50876, Palo Alto, CA 94303, United States of America"
Rockefeller Philanthropy Advisors 2022,500000.0,2022-12-01,2023-12-31,"to support its project, Upstart Co-Lab towards the costs of launching the Inclusive Creative Economy impact investing strategy to impact for BIPOC and women<br />
entrepreneurs long-term.",Convenings & Networks,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
Access to Capital for Entrepreneurs 2022,5000000.0,2022-12-01,2027-12-31,"in support of providing diverse and flexible lending solutions and educational resources to historically disadvantaged small business owners in the Atlanta, GA metro area",U.S. Economic Opportunity,Unknown,"3173 Highway 129N, Cleveland, GA 30528, United States of America"
Public Digital Limited 2022,229519.0,2022-12-01,2024-02-29,"in support of  establishing a network of digital service teams in governments around the world, to enable peer learning and enhance services to their citizens, particularly those in low-income countries",Innovation,Unknown,"81 Rivington Street, EC2A 3AY, London,, England"
Missouri Organizing and Voter Engagement Collaborative 2022,500000.0,2022-12-01,2024-11-30,in support of a grassroots coalition that connects revenue policy with pro-worker and democracy building in Missouri,U.S. Economic Opportunity,Unknown,"1530 S. Big Bend Blvd., St. Louis, MO 63117, United States of America"
Onewest Corporation 2022,500000.0,2022-12-01,2025-07-31,"toward the costs of building the capacity of minority business enterprises in Louisville, Kentucky to grow their business and increase wealth-building opportunities",U.S. Economic Opportunity,Unknown,"2028 West Broadway, Suite 104, Louisville, KY 40203, United States of America"
Teach for All 2022,500000.0,2022-12-01,2025-03-31,in support of an initiative to bring climate and environmental sustainability education to schools around the world,Convenings & Networks,Unknown,"25 BROADWAY, 13TH FLOOR, New York, NY 10004, United States of America"
GREENMAP ASBL 2022,550000.0,2022-12-01,2025-03-31,to support research to develop a methodology for assessing the investment conditions of the clean power sector in developing countries,Power and Climate,Unknown,"Avenue Louise 240, Boite 14 - 1050, Brussels,, Belgium"
The Energy for Growth Hub 2022,500000.0,2022-12-01,2024-05-31,"in support of developing a plan to advance Africa-led, equitable transitions to zero emissions energy systems.",Power and Climate,Unknown,"1015 15th Street NW, Floor 6, Washington, DC 20005, United States of America"
CARE 2022,950000.0,2022-12-01,2024-05-31,in support of uptake of COVID-19 vaccination for at-risk and marginalized populations in Guatemala and Honduras,Health Initiative,Unknown,"151 Ellis Street NE, Atlanta, GA 30303-2440, United States of America"
About Fresh 2022,860000.0,2022-12-01,2025-06-30,in support of a large-scale Food is Medicine demonstration  project with the Veterans Health Administration,Food Initiative,Unknown,"69 Shirley Street, Boston, MA 02119, United States of America"
Springboard to Opportunities 2022,600000.0,2022-12-01,2024-11-30,"toward the costs of expanding the Magnolia Mothers Trust guaranteed income project in Jackson, Mississippi",U.S. Economic Opportunity,Unknown,"854 N Jefferson Street, Jackson, MS 39202, United States of America"
Western Regional Minority Supplier Development Council 2022,445000.0,2022-12-01,2025-12-31,"in support of the Corporate Ready and Business Growth Acceleration programs which connect BIPOC entrepreneurs in Oakland, CA to corporate and anchor institution procurement opportunities",U.S. Economic Opportunity,Unknown,"80 Swan Way, #245, Oakland, CA 94621, United States of America"
"Emerald Cities Collaborative, Inc. 2022",300000.0,2022-12-01,2024-05-31,"in support of establishing an organized and high performing small business ecosystem in Boston and Oakland that will expand the pool of qualified Minority, Women and Disadvantaged Business Enterprises (MWDBEs) skilled in advanced green and smart building technologies",U.S. Economic Opportunity,Unknown,"1140 Connecticut Avenue NW, Suite 900B, Washington, DC 20036, United States of America"
"Black Economic Council of Massachusetts, Inc. 2022",750000.0,2022-12-01,2024-11-30,"toward the costs of advancing access to commerce, capital and technical assistance for Black businesses and entrepreneurs in Greater Boston",U.S. Economic Opportunity,Unknown,"One Beacon Street, Suite 1500, Boston, MA 02108, United States of America"
"Hispanic Business Initiative Fund of Florida, Inc. 2022",500000.0,2022-12-01,2024-05-31,in support of providing procurement-focused technical assistance intervention to disadvantaged Hispanic entrepreneurs with limited access to resources in the Miami and Atlanta metro areas,U.S. Economic Opportunity,Unknown,"3201 E. Colonial Dr., Suite A-20, Orlando, FL 32803, United States of America"
The Aspen Institute 2022,300000.0,2022-12-01,2023-12-31,"in support of an effort to help small Latino-and Black-owned businesses in El Paso, Texas to access federal infrastructure funds by restructuring the public procurement process",U.S. Economic Opportunity,Unknown,"2300 N Street, NW, #700, Washington, DC 20037-1122, United States of America"
Global Impact 2022,1550000.0,2022-12-01,2024-10-31,"toward the cost of building a collaborative funding mechanism to build inclusive, equitable digital public infrastructure (DPI) systems (such as payments, identity, and data exchanges) in low-income countries. ",Innovation,Unknown,"2300 N st. NW, Suite 501A, Washington DC, Washington DC 20037, United States of America"
University of Chicago 2022,500000.0,2022-12-01,2025-11-30,"for use by its Inclusive Economies Lab toward the costs of evaluating the Chicago Resilient Communities Pilot, a guaranteed income initiative with the goal of improving the design and delivery of future cash assistance programs to help advance racial equity and economic mobility.",U.S. Economic Opportunity,Unknown,"5801 South Ellis Avenue, Chicago, IL 60637, United States of America"
"National Employment Law Project, Inc. 2022",750000.0,2022-12-01,2025-11-30,"toward the costs of efforts to ensure that all U.S. workers have the wages, benefits, and conditions to live in security and dignity, that corporations are accountable to workers, and that workers can collectively change their working conditions for the better",U.S. Economic Opportunity,Unknown,"90 Broad Street, Suite 1100, New York, NY 10004, United States of America"
New York City Energy Efficiency Corporation 2022,250000.0,2022-12-01,2023-11-30,in support of an effort to demonstrate financing pathways for high performance buildings in low- and moderate-income communities in New York thereby equipping vulnerable communities to adapt to the changing climate.,Innovative Finance,Unknown,"1359 Broadway, 19th floor, New York, NY 10018, United States of America"
Economic Security Project 2022,500000.0,2022-12-01,2024-11-30,"in support of the Guaranteed Income Community of Practice, to develop strategic messaging and communication to inform the guaranteed income movement in the U.S",U.S. Economic Opportunity,Unknown,"228 Park Ave S, PMB 32482, New York, NY 10003-1502, United States of America"
"Our Village United, Inc. 2022",500000.0,2022-12-01,2025-03-31,"in support of providing technical assistance, training opportunities, and strategies for BIPOC-owned, small businesses in Georgia and Mississippi to identify, pursue and acquire procurement partnerships",U.S. Economic Opportunity,Unknown,"384 Northyards Blvd. NW, Building 100, Suite 190, Atlanta, GA 30313, United States of America"
Adventurous Minds Produce Extraordinary Dreams Inc. 2022,400000.0,2022-12-01,2024-11-30,in general support of its mission to amplify and accelerate the economic and equity transformation of black and brown communities.,U.S. Economic Opportunity,Unknown,"1219 W. Jefferson Street,  Suite 206, Louisville, KY 40203, United States of America"
The Clara Lionel Foundation 2022,750000.0,2022-12-01,2023-12-31,towards the costs of building resilient communication and health facility infrastructures in the Caribbean,Health Initiative,Unknown,"℅ FFO, 545 Fifth Avenue, Suite 1100, New York, NY 10017, United States of America"
American University 2022,500410.0,2022-12-01,2025-09-30,for use by its Department of Economics in support of developing a new macroeconomic model for the analysis of different tax policies in an effort to better inform policy debates and advance an equitable economic agenda.,U.S. Economic Opportunity,Unknown,"4400 Massachusetts Avenue, NW, Washington, DC 20016, United States of America"
New Mexico Voices for Children 2022,400000.0,2022-12-01,2024-11-30,toward the costs of building a state-wide policy advocacy infrastructure in New Mexico to advance pro-worker economic policies.,U.S. Economic Opportunity,Unknown,"265 Silver Ave SW, Suite 195, Albuquerque, NM 87102, United States of America"
Clinton Health Access Initiative (CHAI) 2022,2416947.0,2022-12-01,2025-05-31,"In support of increasing Covid-19 vaccination access and uptake in vulnerable and high-risk populations through the implementation of innovative, data-driven health service delivery approaches",Health Initiative,Unknown,"383 Dorchester Avenue, Suite 400, Boston, MA 02127, United States of America"
Morehouse College 2022,150000.0,2022-12-01,2024-05-31,in support of a planning grant to develop a strategy and learning agenda to advance policy solutions and thinking around equitable and inclusive economies across the South.,U.S. Economic Opportunity,Unknown,"830 Westview Drive S.W., Atlanta, GA 30314, United States of America"
The Milken Institute 2023,750000.0,2022-11-01,2023-10-31,"for use by its FasterCures center, developing a Data Governance Framework which will support early warning activities, and discovering potential innovative financing mechanisms for global pandemic prevention and preparedness.",Pandemic Prevention Institute,Unknown,"1250 4th Street, Santa Monica, CA 90401, United States of America"
University of Oxford 2023,3000000.0,2022-11-01,2026-10-31,"in support of developing rigorous and scalable methods to characterize the threat of emerging pathogens by integrating epidemiological, genomic, mobility, climate, policy, and other data sources",Pandemic Prevention Institute,Unknown,"University Offices, Wellington Square, Oxford,  OX1 2JD, England"
Hopewell Fund 2022,200000.0,2022-11-01,2023-10-31,"for use by its project, The Movement Institute, toward the costs of creating a central hub for low-cost data, analytics, organizing and outreach tools for nonprofit movement-building organizations in the U.S.. ",Strategic Opportunities Fund,Unknown,"1828 L Street NW, Suite 300-A, Washington, DC 20036, United States of America"
VoteRiders 2022,200000.0,2022-11-01,2023-05-31,"toward the costs of a voter ID education and assistance program to facilitate eligible citizens’ ability to vote in the U.S. while also bolstering their ability to access employment, housing, healthcare, and other services",Strategic Opportunities Fund,Unknown,"171 Pier Avenue #313, Santa Monica, CA 90405, United States of America"
Open Collective Europe 2022,400000.0,2022-11-01,2024-10-31,"for use by its project, DemocracyNext, in support of designing and developing solutions for renewing democracy by building new democratic institutions and empowering citizens in public decision making in countries around the world",New Frontiers,Unknown,"Cantersteen 10, Brussels,  1000, Belgium"
Albuquerque Community Foundation 2022,350000.0,2022-11-01,2026-01-01,"for use by its New Mexico Community Trust project in support of a pooled fund to develop strategies, capacities, and campaigns that increase the economic and social welfare of tribal communities in New Mexico",U.S. Economic Opportunity,Unknown,"624 Tijeras Ave NW, Albuquerque, NM 87107, United States of America"
Institute for Technology and Society of Rio de Janeiro 2022,275000.0,2022-11-01,2024-07-31,"in support of efforts toward scaled use of quadratic voting (QV), an innovative tool for democratic decision-making",Convenings & Networks,Unknown,"10, Assembléia Street, Room n. 4011, Centro,, Rio de Janeiro,  20011-901, Brazil"
African Field Epidemiology Network 2022,4300000.0,2022-11-01,2024-10-31,"for use by the Africa Centres for Disease Control and Prevention toward the costs of strengthening its institutional framework, core preparedness, and emergency response capacities ",Health Initiative,Unknown,"Ground Floor (Wings B & C), Lugogo House, Kololo, P.O. Box 12874, Kampala,, Uganda"
Climate Smart Ventures Pte. Ltd. 2022,600000.0,2022-11-01,2024-04-30,in support of the formation and coordination of a working group composed of research and technical partners to scope transitioning the Philippines' energy system from coal to clean energy,Power and Climate,Unknown,"10 Anson Road, #22-02 International Plaza, Singapore,  079903, Singapore"
AtlasAI 2022,1858361.0,2022-11-01,2025-10-31,in support of using its Human and Economic Atlas platform to create an index to measure community-level vulnerability to climate change (the “Climate Vulnerability Index”) in an effort to advance climate adaption and resilience within vulnerable communities around the world.,Innovation,Unknown,"855 El Camino Real,, Ste. 13A #387, Palo Alto, CA 94301, United States of America"
Pioneer Works 2022,1031000.0,2022-11-01,2025-08-31,"in support of createing and administering The Art for Social Impact Emerging Practice Artist Fellowship, awarding fellowships to early career artists who are driving collective action to improve the lives of New Yorkers",Convenings & Networks,Unknown,"159 Pioneer Street, Brooklyn, NY 11231, United States of America"
Catholic Charities USA 2022,250560.0,2022-11-01,2023-09-30,toward the costs of developing the Disaster Response Academy to address equitable recovery from natural disasters for lower income and marginalized communities in the US.,Strategic Opportunities Fund,Unknown,"2050 Ballenger Avenue, Alexandria, VA 22314, United States of America"
Creative Time 2022,1300000.0,2022-11-01,2026-03-31,"in support of creating and administering The Art for Social Impact Distinguished Artist Fellowship, awarding fellowships to highly distinguished artists who are driving collective action to improve the lives of New Yorkers",Convenings & Networks,Unknown,"59 E. 4th St., 6E, New York, NY 10003, United States of America"
Eurasia Group 2022,361500.0,2022-11-01,2025-01-01,in support of work to advance the understanding of the evolving geopolitical landscape so that philanthropic and development organizations can adapt their funding to maintain relevance and strengthen impact,Strategic Opportunities Fund,Unknown,"149 Fifth Avenue,, 15th Floor, New York, NY 10010, United States of America"
Rockefeller Philanthropy Advisors 2022,1500000.0,2022-11-01,2024-01-31,for use by its Climate Emergency Collaboration Group toward the costs of establishing a regranting mechanism to build and test innovative strategies to reform the global development finance system,Global Economic Recovery,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
Nature Conservancy 2022,1500000.0,2022-11-01,2025-12-31,toward the costs of an accelerator program to generate sustainable revenue from carbon sales or investment in an effort to address climate change and biodiversity loss,Innovative Finance,Unknown,"4245 N. Fairfax Drive, Suite 100, Arlington, VA 22203-1606, United States of America"
The Windward Fund 2022,325000.0,2022-11-01,2024-06-30,for use by its Farm to Fork Collaborative towards the cost of coordinating a diverse and equitable  coalition of good food policy advocates in the U.S.,Food Initiative,Unknown,"1828 L Street NW, Suite 300-C, Washington, DC 20036, United States of America"
New Venture Fund 2022,200000.0,2022-11-01,2023-10-31,for use by its Trusted Elections Fund project to provide rapid response grants at both the state and national levels to support rapid response work to protect the integrity of the 2022 elections and ensure disenfranchised voters have access to and confidence in the voting process.,Strategic Opportunities Fund,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
National Opinion Research Center 2022,500000.0,2022-11-01,2023-12-31,"up to $500,000 in support of developing an Asian American Native Hawaiian Pacific Islanders (AANHPI)-focused survey panel for NORC's Amerispeak.",Innovation,Unknown,"55 E. Monroe, 31st floor, Chicago, IL 60603, United States of America"
Bridges Impact Foundation 2022,150044.0,2022-11-01,2024-04-30,in support of an effort to build market-wide consensus on a common set of elements in an impact performance reporting verification methodology used by investors to help ensure that specific impact considerations are uniformly integrated within investment structuring such that investments ultimately achieve measurable positive change in people’s lives and communities,Innovative Finance,Unknown,"125 High Street, Suite 220, Boston, MA 02110, United States of America"
Consumers International 2022,400192.0,2022-11-01,2024-03-31,in support of an effort to promote fair food prices and transparent market systems to address anti-competitive conduct in East and Southern Africa,Food Crisis Work,Unknown,"70 While Lion Street, London,  N1 9PP, England"
Amazon Conservation Team 2022,75000.0,2022-11-01,2023-10-31,in support of elevating indigenous agroecology landscapes in Colombia.,Food Initiative,Unknown,"4211 North Fairfax Drive, Arlington, VA 22203, United States of America"
RSF Social Finance 2022,558813.0,2022-11-01,2025-01-01,"in support of a network of indigenous and local peoples  in Kenya, Brazil, Nigeria, Canada and Fiji working to strengthen their own regenerative food systems while building a pipeline for future investment",Food Initiative,Unknown,"PO Box 2007, San Francisco, CA 94126, United States of America"
World Food Programme 2022,10708092.0,2022-11-01,2026-04-30,"in support of promoting the production and consumption of good food in school feeding programs in Benin, Ghana, Honduras and India.",Food Initiative,Unknown,"Via Cesare Giulio Viola 68, Parco dei Medici, Rome, Rome 00148, Italy"
Common Market Georgia Inc. 2022,1748000.0,2022-11-01,2025-12-31,"in support of providing underserved Atlanta communities with access to healthy and sustainable food and increasing the participation of ecologically focused Black farmers and other small/mid-sized regional producers in urban markets, community health initiatives, and institutional supply chains in Georgia.",Food Initiative,Unknown,"1050 Oakleigh Drive, East Point, GA 30344, United States of America"
Sustainable Markets Foundation 2022,750000.0,2022-11-01,2024-10-31,"for use by its Working Power program toward the costs of an effort to scale the deployment of community-based, clean energy assets and to elevate racial and economic justice as core values within the development of low-carbon infrastructure projects in the U.S",U.S. Economic Opportunity,Unknown,"45 West 36th Street, 6th floor, New York, NY 10018, United States of America"
National Immigration Law Center 2022,350000.0,2022-11-01,2023-10-31,"toward the costs of its Protecting Immigrant Families coalition, an effort to protect access to health care, public services, and economic supports for immigrants and their families",U.S. Economic Opportunity,Unknown,"3450 Wilshire Boulevard, #108-62, Los Angeles, CA 90010, United States of America"
Neighborhood Funders Group 2022,500000.0,2022-11-01,2023-10-31,"for use by its Lift Fund, in support of the Southern Workers Opportunity Initiative Pooled Fund, an effort to support strategies, capacities and campaigns that increase the economic and social welfare of low-wage workers and their families in Alabama and other southern states",U.S. Economic Opportunity,Unknown,"548 Market Street #96531, San Francisco, CA 94104-5401, United States of America"
Jobs to Move America 2022,350000.0,2022-11-01,2024-10-31,toward the costs of creating new standards for low-wage industries in Alabama,U.S. Economic Opportunity,Unknown,"525 S. Hewitt St., Los Angeles, CA 90013, United States of America"
Alabama Arise 2022,400000.0,2022-11-01,2024-10-31,in general support of its mission to promote public policies to improve the lives of Alabamians who are marginalized by poverty ,U.S. Economic Opportunity,Unknown,"400 South Union Street, Suite 340, Montgomery, AL 36104, United States of America"
Espacios Abiertos Puerto Rico Inc. 2022,500000.0,2022-11-01,2024-04-30,in general support of its mission to bring about long-term systemic change that will protect and safeguard the well-being and economic security of low- and middle-income families in Puerto Rico,U.S. Economic Opportunity,Unknown,"867 Ave. Muñoz Rivera, Suite D 101, San Juan, Puerto Rico 00925, United States of America"
Center for Community Change 2022,200000.0,2022-11-01,2024-10-31,"in support of an effort to modernize the regulatory review process in the U.S. government and provide economic analysis to better ensure that regulatory initiatives benefit disadvantaged, marginalized or vulnerable communities",U.S. Economic Opportunity,Unknown,"1536 U Street, NW, Washington, DC 20009, United States of America"
Family Values at Work A Multi-State Consortium 2022,500000.0,2022-11-01,2024-12-31,"towards the cost of effectively and equitably implementing paid leave policies in states and advancing pro-worker economic policies by way of convenings, trainings, and skills building for coalition leaders and grassroots stakeholders",U.S. Economic Opportunity,Unknown,"207 E Buffalo Street, Suite 501, Milwaukee, WI 53202, United States of America"
New York University 2022,750000.0,2022-11-01,2025-12-31,for use by its School of Law toward the costs of the work of its tax law center to engage and organize tax legal experts to work in the public interest to protect and secure revenues and advance equity in the U.S. tax system,U.S. Economic Opportunity,Unknown,"665 Broadway, Suite 801, New York, NY 10012, United States of America"
Institute on Taxation and Economic Policy 2022,750000.0,2022-11-01,2025-10-31,toward the costs of research and data analysis on federal and state tax policies in an effort to improve the equity of tax systems in the U.S.,U.S. Economic Opportunity,Unknown,"1200 18th Street, NW, Suite 675, Washington, DC 20036, United States of America"
New Venture Fund 2022,800000.0,2022-11-01,2023-12-31,for use by its project data.org towards the cost to support staff and achieve its mission and operational goals,Data Science,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
FIOCRUZ 2023,3180520.0,2022-10-01,2025-09-30,"in support of the development of RF/PPR’s proof of concept and emerging co-creation strategy for pandemic prevention data insight generation, as well as iterative development of GeoSeeq as part of its’ network of global network(s) approach.",Pandemic Prevention Institute,Unknown,"Av. Brasil, 4365 Catelo, Pavilhão Mourisco, 5 andar, Manguinhos, Rio de Janeiro, RJ 21040-400, Brazil"
Good Information Foundation 2022,200000.0,2022-10-01,2023-09-30,in support of an online reporting and content campaign about voting rights and access targeting communities underserved by local news outlets.,Strategic Opportunities Fund,Unknown,"101 Avenue of the Americas,, 8th and 9th Floors, New York, NY 10013-1941, United States of America"
The Windward Fund 2022,200000.0,2022-10-01,2023-10-31,"for use by its Heartland Fund project in support of increasing rural grassroots and civic engagement organizations’ participation in democracy defense coalitions in Pennsylvania, Wisconsin, Michigan, Georgia, Arizona, North Carolina, and Texas.",Strategic Opportunities Fund,Unknown,"1828 L Street NW, Suite 300-C, Washington, DC 20036, United States of America"
Friends of Europe ASBL 2022,200000.0,2022-10-01,2023-09-30,for use by its project Africa Europe Foundation in support of strengthening Africa-Europe partnerships to address climate change adaptation and the consequences of the Ukraine conflict for Africa.,Strategic Opportunities Fund,Unknown,"5 – 6 Square de Meeus, Brussels,  1000, Belgium"
Partners In Health 2022,500000.0,2022-10-01,2023-09-30,in support of providing equity-focused medical education in Rwanda to grow the number of medical leaders in global health through scholarships and an early career mentorship fund.,Strategic Opportunities Fund,Unknown,"800 Boylston Street, Suite 300, Boston, MA 02219, United States of America"
Global Child Nutrition Foundation 2022,222680.0,2022-10-01,2023-10-31,in support of enhancing local nutrition capacity in countries affected by the 2022 global food crisis through training and technical assistance by way of the annual Global Child Nutrition Forum and the expansion of the Global Survey of School Meal Programs,Food Crisis Work,Unknown,"P.O. Box 99435, Seattle, WA 98139-0435, United States of America"
Synergos Institute 2022,200000.0,2022-10-01,2023-12-31,"toward the costs of strengthening and developing the Climate and Environment Collaborative Community, an effort to build collaborative connections between global climate leaders to share learnings, best practices, and opportunities for collective action to mitigate the effects of climate change ",Convenings & Networks,Unknown,"3 East 54th Street, 14th Floor, New York, NY 10022, United States of America"
"Florida Rising Together, Inc. 2022",1270000.0,2022-10-01,2024-10-31,"for use by its Florida For All Education Fund, toward the costs of advancing public understanding about taxation and budget issues in Florida in an effort to improve the lives of working families",U.S. Economic Opportunity,Unknown,"10800 Biscayne Blvd. Suite 1050, Miami, FL 33161, United States of America"
German Marshall Fund of the United States 2022,248926.0,2022-10-01,2023-09-30,"in support of its Black Sea Trust for Regional Cooperation, Rescue and Resilience for Ukrainian  Civil Society program, an effort to increase the institutional capacity of Ukrainian civil society and independent media organizations and to enable them to effectively engage in postwar recovery and reconstruction efforts",Strategic Opportunities Fund,Unknown,"1744 R Street NW, Washington, DC 20009, United States of America"
Paris Peace Forum 2022,300000.0,2022-10-01,2023-01-31,"in support of convening the 5th Annual Paris Peace Forum, an innovative, multi-stakeholder exchange on urgent issues including food security and the future of health systems ",Strategic Opportunities Fund,Unknown,"164 Rue de Vaugirard, Paris, France 75015, France"
African Population and Health Research Center 2022,401798.0,2022-10-01,2024-06-30,in support of developing and implementing an advocacy plan for enhancing access to medical oxygen in Kenya,Africa Regional Office,Unknown,"APHRC Campus, off Kirawa Road, PO Box 10787, Nairobi,  001000, Kenya"
United States Fund for UNICEF 2022,500000.0,2022-10-01,2024-04-30,"n support of developing an on-demand country-level risk communication and community engagement (RCCE) model for the COVID-19 response in Malawi, Kenya and Uganda",Health Initiative,Unknown,"125 Maiden Lane, 12th floor, New York, NY 10038, United States of America"
"Jubilee USA Network, Inc. 2022",544000.0,2022-10-01,2023-12-31,in support of an effort to achieve debt relief and reforms to prevent and resolve debt crises in developing countries,Global Economic Recovery,Unknown,"110 Maryland Avenue NE, Ste 210, Washington, DC 20002, United States of America"
New Venture Fund 2022,2500000.0,2022-10-01,2026-01-01,toward the costs of establishing a multi-donor fund to support innovation among multi-lateral development banks around the world,Global Economic Recovery,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
United Nations Foundation 2022,250000.0,2022-10-01,2023-10-31,in support of the successful transition of the new World Food Progamme Executive Director appointed by the UN Secretary General and UN Food and Agriculture Organization Director General,Food Crisis Work,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
American Heart Association 2022,1084000.0,2022-10-01,2023-08-31,"in support of developing a research project to study the effectiveness of Food Is Medicine programs in an effort to improve health outcomes, reduce health disparities across communities, and reduce diet-related healthcare costs in the U.S.",Food Initiative,Unknown,"7272 Greenville Avenue, Dallas, TX 75231, United States of America"
American Heart Association 2022,2699993.0,2022-10-01,2026-03-31,in support of the creation of Good Food Fellows training fellowships in the Global South to create a new pipeline of food scientists in underserved regions,Food Initiative,Unknown,"7272 Greenville Avenue, Dallas, TX 75231, United States of America"
World Health Organization 2022,537552.0,2022-10-01,2024-06-30,In support of harmonizing and mainstreaming diet quality measurement globally,Food Initiative,Unknown,"20 Avenue Appia, CH-1211, Geneva,  27, Switzerland"
Hopewell Fund 2022,500000.0,2022-10-01,2024-03-31,for use by its Social and Economic Strategies Center toward the costs of an effort to address geographic economic inequities that persist in small population states in the U.S.,U.S. Economic Opportunity,Unknown,"1828 L Street NW, Suite 300-A, Washington, DC 20036, United States of America"
"Florida Policy Institute, Inc. 2022",500000.0,2022-10-01,2024-12-31,in general support of its mission to advance state policies and budgets that improve the economic mobility and quality of life for all Floridians,U.S. Economic Opportunity,Unknown,"1001 N. Orange Ave., Orlando, FL 32803, United States of America"
"Florida Philanthropic Network, Inc. 2022",277000.0,2022-10-01,2025-09-30,in support of creating tools and resources to help Florida funders to support pro-worker and economic security policies in the state,U.S. Economic Opportunity,Unknown,"12191 W Linebaugh Avenue, Suite 626, Tampa, FL 33626, United States of America"
Coalition on Human Needs 2022,750000.0,2022-10-01,2025-09-30,in general support of its mission to promote federal policies that address the needs of low-income and vulnerable people in the U.S.,U.S. Economic Opportunity,Unknown,"1825 K Street, NW, Suite 411, Washington, DC 20006, United States of America"
CGIAR System Organization 2022,350000.0,2022-10-01,2023-01-31,"Toward the costs of seminars, panel discussions, and other programming at the Conference of the Parties of the UNFCCC (COP 27) about the role of agriculture in climate change and building support for systems transformation",CPA Central Office,Unknown,"1000, Avenue Agropolis, Montpellier,  Cedex 5 34394, France"
WRTHY 2022,250250.0,2022-10-01,2023-06-30,"in support of research and strategic alignment to develop a women led climate justice campaign that unifies small island states, indigenous people, and underserved communities to reduce carbon emissions by 45% by 2030",Connected Leaders,Unknown,"351 W Hubbard Street, Suite 510, Chicago, IL 60654, United States of America"
Pennsylvania State University 2022,500000.0,2022-10-01,2024-12-15,To contribute to the development of data products that help underserved communities secure federal broadband expansion funds,Innovation,Unknown,"200 Innovation Blvd, Suite 110, University Park, PA 16802, United States of America"
Georgetown University 2022,2000000.0,2022-10-01,2026-01-31,In support of a network supporting newly elected Women Heads of State and Ministers and a Global Women Leaders Response Network that will respond to acute needs in crisis contexts,Convenings & Networks,Unknown,"37th and O Streets, NW, Box 571168, Washington, DC 20057, United States of America"
Dalberg Catalyst 2022,3000000.0,2022-10-01,2025-12-31,In support of administering the “Uncommon Collaboration” fund to support collaborations between experts advancing projects emerging from convenings and other network channels that seek creative solutions to complex challenges the world faces today.,Convenings & Networks,Unknown,"1401 K Street NW, #900, Washington, DC 20005, United States of America"
Center for Popular Democracy 2022,500000.0,2022-10-01,2023-09-30,toward the costs of a campaign to empower low-wage workers to inform state and federal policy decisions in order to build a more equitable tax system and improve the lives of low-wage workers.,U.S. Economic Opportunity,Unknown,"449 Troutman Street, Suite A, Brooklyn, NY 11237, United States of America"
New Venture Fund 2022,250000.0,2022-10-01,2024-09-30,"for use by its Groundwork Collaborative project, toward the costs of communications efforts, research and convenings geared toward transforming the public understanding of the U.S. economy to help to create an inclusive economy that values and invests in workers",U.S. Economic Opportunity,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
Somos Un Pueblo Unido 2022,500000.0,2022-10-01,2024-09-30,"in support of the New Mexico Worker Organizing Collaborative, an effort promoting state-wide education to inform economic opportunity, tax reform, and fair budget allocation initiatives ",U.S. Economic Opportunity,Unknown,"1804 Espinacitas Street, Santa Fe, NM 87505, United States of America"
Center for Global Development 2022,752831.0,2022-10-01,2024-09-30,"in support of adjusting the multilateral development banks mandate and business model to better address global public needs, such as preserving public health and mitigating the impacts of climate change",Global Economic Recovery,Unknown,"2055 L Street NW, Fifth Floor, Washington, DC 20036, United States of America"
